ID,Education
0,8th Pass
1,8th Pass
2,Graduate
3,12th Pass
4,Graduate
5,12th Pass
6,Post Graduate
7,Post Graduate
8,Graduate
9,8th Pass
10,12th Pass
11,Graduate
12,10th Pass
13,12th Pass
14,10th Pass
15,Graduate Professional
16,Graduate
17,8th Pass
18,Post Graduate
19,5th Pass
20,Graduate
21,Post Graduate
22,Post Graduate
23,Graduate
24,Graduate
25,12th Pass
26,Post Graduate
27,12th Pass
28,Post Graduate
29,Graduate Professional
30,Post Graduate
31,12th Pass
32,10th Pass
33,Graduate
34,10th Pass
35,Post Graduate
36,Graduate Professional
37,Post Graduate
38,Graduate
39,Graduate
40,Graduate Professional
41,Post Graduate
42,Post Graduate
43,Post Graduate
44,Graduate Professional
45,Graduate Professional
46,8th Pass
47,Graduate Professional
48,12th Pass
49,Graduate
50,Graduate Professional
51,Graduate Professional
52,Graduate Professional
53,12th Pass
54,Graduate Professional
55,12th Pass
56,12th Pass
57,Graduate Professional
58,12th Pass
59,10th Pass
60,Graduate
61,Graduate
62,Graduate
63,12th Pass
64,12th Pass
65,Graduate
66,Post Graduate
67,Graduate
68,Doctorate
69,Graduate Professional
70,Graduate
71,10th Pass
72,Graduate
73,5th Pass
74,Graduate
75,12th Pass
76,Doctorate
77,Graduate
78,Post Graduate
79,Post Graduate
80,12th Pass
81,Graduate
82,Post Graduate
83,Graduate Professional
84,Post Graduate
85,Post Graduate
86,12th Pass
87,12th Pass
88,10th Pass
89,Post Graduate
90,10th Pass
91,12th Pass
92,12th Pass
93,12th Pass
94,Graduate Professional
95,Post Graduate
96,Post Graduate
97,10th Pass
98,Graduate
99,Graduate
100,12th Pass
101,Graduate Professional
102,Graduate
103,Graduate
104,Graduate
105,Others
106,Graduate Professional
107,10th Pass
108,Post Graduate
109,10th Pass
110,12th Pass
111,12th Pass
112,8th Pass
113,Graduate Professional
114,10th Pass
115,Graduate
116,Graduate
117,Graduate
118,10th Pass
119,Post Graduate
120,10th Pass
121,Graduate
122,12th Pass
123,Doctorate
124,10th Pass
125,12th Pass
126,Post Graduate
127,12th Pass
128,Post Graduate
129,Graduate
130,Graduate
131,8th Pass
132,Graduate
133,Graduate
134,Graduate Professional
135,Graduate Professional
136,Post Graduate
137,10th Pass
138,Graduate
139,Graduate
140,10th Pass
141,12th Pass
142,Others
143,Post Graduate
144,Doctorate
145,12th Pass
146,8th Pass
147,12th Pass
148,8th Pass
149,Graduate Professional
150,Graduate
151,Graduate
152,Graduate
153,Graduate Professional
154,12th Pass
155,Post Graduate
156,Post Graduate
157,Post Graduate
158,Graduate
159,12th Pass
160,Graduate Professional
161,Post Graduate
162,12th Pass
163,Graduate
164,Graduate Professional
165,Post Graduate
166,Graduate
167,12th Pass
168,Graduate Professional
169,Graduate
170,8th Pass
171,Graduate
172,Post Graduate
173,Graduate
174,Graduate
175,Post Graduate
176,12th Pass
177,10th Pass
178,Post Graduate
179,Post Graduate
